"","x"
"1",105
"2",111
"3",81
"4",22
"5",137
"6",51
"7",204
"8",30
"9",592
"10",1043
"11",205
"12",18
"13",321
"14",71
"15",71
"16",289
"17",72
"18",203
"19",77
"20",253
"21",196
"22",357
"23",67
"24",100
"25",109
"26",170
"27",188
"28",217
"29",27
"30",147
"31",460
"32",155
"33",93
"34",869
"35",24
"36",105
"37",503
"38",580
"39",911
"40",576
"41",311
"42",129
"43",114
"44",97
"45",593
"46",62
"47",42
"48",323
"49",43
"50",601
"51",60
"52",165
"53",518
"54",69
"55",27
"56",49
"57",79
"58",132
"59",112
"60",213
"61",126
"62",629
"63",118
"64",170
"65",139
"66",24
"67",48
"68",307
"69",159
"70",176
"71",89
"72",332
"73",48
"74",0
"75",224
"76",191
"77",808
"78",270
"79",332
"80",250
"81",161
"82",64
"83",942
"84",48
"85",60
"86",413
"87",161
"88",38
"89",134
"90",58
"91",109
"92",51
"93",235
"94",516
"95",56
"96",64
"97",185
"98",438
"99",356
"100",118
"101",147
"102",424
"103",182
"104",232
"105",34
"106",62
"107",79
"108",45
"109",25
"110",468
"111",306
"112",65
"113",106
"114",506
"115",26
"116",166
"117",135
"118",230
"119",61
"120",35
"121",164
"122",121
"123",0
"124",58
"125",50
"126",304
"127",119
"128",174
"129",263
"130",28
"131",275
"132",111
"133",138
"134",112
"135",70
"136",93
"137",51
"138",108
"139",87
"140",133
"141",21
"142",155
"143",12
"144",44
"145",135
"146",310
"147",66
"148",30
"149",303
"150",354
"151",337
"152",399
"153",58
"154",135
"155",134
"156",159
"157",77
"158",31
"159",128
"160",56
"161",118
"162",137
"163",83
"164",40
"165",105
"166",195
"167",105
"168",60
"169",136
"170",116
"171",34
"172",190
"173",115
"174",8
"175",23
"176",272
"177",136
"178",142
"179",92
"180",125
"181",41
"182",81
"183",60
"184",228
"185",557
"186",379
"187",108
"188",188
"189",67
"190",40
"191",197
"192",116
"193",75
"194",507
"195",83
"196",144
"197",138
"198",389
"199",164
"200",286
"201",23
"202",273
"203",85
"204",232
"205",21
"206",552
"207",71
"208",114
"209",42
"210",96
"211",53
"212",632
"213",64
"214",58
"215",54
"216",84
"217",175
"218",76
"219",203
"220",153
"221",29
"222",248
"223",780
"224",406
"225",498
"226",154
"227",303
"228",50
"229",38
"230",75
"231",128
"232",226
"233",43
"234",122
"235",108
"236",77
"237",757
"238",156
"239",120
"240",60
"241",318
"242",46
"243",145
"244",50
"245",47
"246",108
"247",328
"248",141
"249",1019
"250",195
"251",77
"252",679
"253",144
"254",60
"255",216
"256",53
"257",211
"258",150
"259",146
"260",325
"261",177
"262",44
"263",181
"264",728
"265",391
"266",171
"267",1008
"268",118
"269",451
"270",76
"271",48
"272",147
"273",653
"274",137
"275",580
"276",88
"277",109
"278",45
"279",252
"280",31
"281",127
"282",193
"283",945
"284",53
"285",478
"286",476
"287",56
"288",38
"289",393
"290",186
"291",102
"292",58
"293",103
"294",202
"295",61
"296",22
"297",807
"298",139
"299",59
"300",285
"301",226
"302",116
"303",474
"304",91
"305",278
"306",437
"307",159
"308",106
"309",40
"310",53
"311",127
"312",86
"313",249
"314",54
"315",94
"316",389
"317",232
"318",17
"319",228
"320",45
"321",165
"322",75
"323",54
"324",48
"325",123
"326",27
"327",117
"328",41
"329",155
"330",267
"331",151
"332",53
"333",261
"334",13
"335",457
"336",194
"337",134
"338",382
"339",396
"340",266
"341",328
"342",60
"343",70
"344",149
"345",57
"346",59
"347",249
"348",24
"349",264
"350",572
"351",118
"352",278
"353",523
"354",467
"355",196
"356",311
"357",87
"358",234
"359",242
"360",202
"361",78
"362",183
"363",302
"364",421
"365",190
"366",529
"367",54
"368",108
"369",58
"370",164
"371",450
"372",23
"373",173
"374",135
"375",113
"376",36
"377",57
"378",128
"379",452
"380",182
"381",421
"382",26
"383",27
"384",441
"385",95
"386",515
"387",111
"388",30
"389",647
"390",106
"391",156
"392",152
"393",104
"394",308
"395",469
"396",406
"397",64
"398",121
"399",77
"400",976
"401",72
"402",136
"403",104
"404",64
"405",44
"406",77
"407",50
"408",299
"409",585
"410",41
"411",82
"412",84
"413",31
"414",129
"415",103
"416",210
"417",33
"418",67
"419",13
"420",185
"421",22
"422",163
"423",30
"424",50
"425",110
"426",35
"427",206
"428",10
"429",457
"430",196
"431",153
"432",121
"433",33
"434",115
"435",605
"436",106
"437",204
"438",159
"439",89
"440",239
"441",30
"442",525
"443",88
"444",314
"445",393
"446",493
"447",400
"448",195
"449",672
"450",223
"451",22
"452",395
"453",64
"454",75
"455",171
"456",832
"457",135
"458",22
"459",82
"460",126
"461",64
"462",375
"463",60
"464",29
"465",140
"466",59
"467",319
"468",44
"469",211
"470",28
"471",619
"472",128
"473",139
"474",30
"475",501
"476",100
"477",317
"478",36
"479",170
"480",806
"481",210
"482",187
"483",251
"484",462
"485",55
"486",850
"487",33
"488",331
"489",93
"490",54
"491",99
"492",162
"493",413
"494",32
"495",206
"496",207
"497",194
"498",385
"499",68
"500",250
"501",32
"502",39
"503",245
"504",64
"505",326
"506",463
"507",143
"508",69
"509",632
"510",1047
"511",46
"512",1803
"513",108
"514",113
"515",474
"516",394
"517",36
"518",273
"519",164
"520",92
"521",122
"522",648
"523",74
"524",412
"525",47
"526",96
"527",15
"528",101
"529",78
"530",410
"531",135
"532",155
