"","x"
"1",52
"2",91
"3",0
"4",40
"5",189
"6",137
"7",19
"8",125
"9",189
"10",337
"11",32
"12",52
"13",107
"14",119
"15",219
"16",21
"17",101
"18",448
"19",30
"20",548
"21",89
"22",435
"23",510
"24",214
"25",193
"26",621
"27",729
"28",177
"29",66
"30",295
"31",205
"32",169
"33",131
"34",252
"35",327
"36",454
"37",120
"38",502
"39",212
"40",647
"41",229
"42",270
"43",799
"44",135
"45",115
"46",686
"47",484
"48",465
"49",131
"50",37
"51",225
"52",189
"53",99
"54",62
"55",207
"56",59
"57",1825
"58",445
"59",90
"60",127
"61",101
"62",134
"63",177
"64",43
"65",38
"66",52
"67",112
"68",210
"69",486
"70",522
"71",166
"72",61
"73",10
"74",145
"75",1032
"76",32
"77",94
"78",3
"79",619
"80",345
"81",134
"82",1106
"83",178
"84",180
"85",24
"86",44
"87",163
"88",774
"89",48
"90",83
"91",44
"92",79
"93",264
"94",53
"95",442
"96",222
"97",129
"98",119
"99",329
"100",33
"101",88
"102",79
"103",69
"104",11
"105",490
"106",226
"107",58
"108",340
"109",219
"110",128
"111",185
"112",255
"113",52
"114",187
"115",75
"116",189
"117",18
"118",424
"119",64
"120",492
"121",38
"122",515
"123",304
"124",428
"125",288
"126",101
"127",601
"128",54
"129",57
"130",407
"131",148
"132",91
"133",87
"134",88
"135",136
"136",0
"137",186
"138",1
"139",262
"140",69
"141",67
"142",475
"143",40
"144",700
"145",169
"146",188
"147",154
"148",147
"149",52
"150",467
"151",55
"152",151
"153",292
"154",231
"155",16
"156",114
"157",149
"158",113
"159",48
"160",897
"161",0
"162",71
"163",49
"164",229
"165",23
"166",597
"167",97
"168",133
"169",380
"170",88
"171",108
"172",185
"173",18
"174",51
"175",177
"176",54
"177",41
"178",46
"179",124
"180",159
"181",95
"182",48
"183",255
"184",73
"185",182
"186",351
"187",540
"188",890
"189",59
"190",602
"191",599
"192",464
"193",195
"194",71
"195",454
"196",42
"197",331
"198",256
"199",174
"200",227
"201",148
"202",949
"203",56
"204",248
"205",238
"206",311
"207",168
"208",83
"209",67
"210",303
"211",57
"212",496
"213",621
"214",24
"215",639
"216",239
"217",390
"218",176
"219",291
"220",174
"221",101
"222",28
"223",119
"224",135
"225",892
"226",642
"227",244
"228",142
"229",43
"230",92
"231",42
"232",87
"233",473
"234",733
"235",164
"236",133
"237",81
"238",31
"239",118
"240",73
"241",370
"242",601
"243",192
"244",204
"245",288
"246",125
"247",53
"248",1136
"249",61
"250",56
"251",25
"252",1489
"253",236
