"","V1","V2","V3","V4","V5","V6","V7","V8"
"3383",0,0,3,0,0,2,0,5
"3384",0,0,0,0,0,0,0,0
"3385",0,0,0,0,0,2,0,2
"3386",0,1,7,0,0,1,3,12
"3387",1,0,1,0,0,2,2,6
"3388",1,0,0,0,0,2,0,3
"3389",1,0,1,0,0,0,0,2
"3390",0,0,0,0,0,0,0,0
"3391",0,2,2,0,0,4,1,9
"3392",0,1,7,0,0,4,2,15
"3393",0,1,7,0,1,8,2,19
"3394",0,0,8,0,0,5,1,14
"3395",0,0,1,0,0,3,0,4
"3396",0,0,2,0,0,7,1,10
"3397",0,0,1,0,0,3,1,5
"3398",1,1,2,0,0,0,0,4
"3399",4,1,6,0,0,5,7,24
"3400",0,0,3,0,1,1,2,7
"3401",12,10,39,3,3,27,25,120
"3402",0,1,2,0,0,6,1,10
"3403",0,1,3,0,1,3,1,9
"3404",0,0,2,0,0,0,0,2
"3405",0,2,8,0,0,3,3,16
"3406",0,0,0,0,0,4,4,8
"3407",2,5,13,0,1,5,11,37
"3408",0,0,2,0,0,1,1,4
"3409",0,1,0,0,0,2,0,3
"3410",0,0,2,0,0,1,0,3
"3411",2,8,12,0,0,6,6,34
"3412",1,0,5,0,0,2,1,9
"3413",2,2,3,1,0,8,4,20
"3414",2,0,0,0,0,0,0,2
"3415",0,1,1,0,0,1,1,4
"3416",0,0,3,0,0,2,0,6
"3417",1,0,3,0,0,2,4,10
"3418",0,0,2,0,0,0,1,3
"3419",0,0,3,0,0,1,0,4
"3420",0,0,4,0,0,1,0,5
"3421",0,1,5,0,0,6,0,12
"3422",1,3,4,0,0,3,3,14
"3423",1,5,10,0,0,16,10,43
"3424",3,0,7,2,0,5,7,24
"3425",1,1,5,0,0,3,0,10
"3426",0,0,3,0,0,0,0,3
"3427",0,0,7,0,0,1,0,8
"3428",1,0,16,0,0,12,3,32
"3429",0,0,2,0,1,2,5,10
"3430",1,0,4,1,1,2,0,11
"3431",0,0,4,0,0,3,2,9
"3432",1,0,7,0,0,18,1,28
"3433",0,0,3,0,0,5,4,12
"3434",0,0,1,0,0,0,0,1
"3435",3,2,3,0,0,4,6,19
"3436",0,3,13,0,0,12,9,38
"3437",0,1,4,0,1,9,2,17
"3438",0,0,4,0,0,4,0,8
"3439",1,1,2,0,0,5,4,13
"3440",3,1,12,0,0,5,4,25
"3441",0,1,0,0,0,0,1,2
"3442",0,0,3,0,0,0,1,4
"3443",1,3,3,0,0,10,0,17
"3444",0,0,3,0,0,0,0,3
"3445",0,0,4,0,0,1,0,5
"3446",0,1,3,0,0,1,3,8
"3447",0,0,6,0,0,0,2,8
"3448",1,0,0,0,0,1,0,2
