"","x"
"1",100
"2",93
"3",0
"4",57
"5",206
"6",180
"7",63
"8",128
"9",271
"10",419
"11",69
"12",121
"13",153
"14",276
"15",252
"16",33
"17",208
"18",603
"19",22
"20",867
"21",122
"22",537
"23",695
"24",262
"25",206
"26",652
"27",901
"28",216
"29",90
"30",397
"31",315
"32",273
"33",133
"34",463
"35",387
"36",563
"37",184
"38",816
"39",421
"40",940
"41",293
"42",333
"43",1113
"44",200
"45",101
"46",923
"47",763
"48",417
"49",190
"50",44
"51",296
"52",343
"53",154
"54",79
"55",287
"56",66
"57",2985
"58",668
"59",75
"60",144
"61",221
"62",152
"63",261
"64",89
"65",32
"66",95
"67",158
"68",241
"69",696
"70",733
"71",255
"72",68
"73",42
"74",350
"75",1300
"76",76
"77",152
"78",6
"79",1084
"80",365
"81",199
"82",1359
"83",301
"84",193
"85",34
"86",87
"87",219
"88",1132
"89",64
"90",79
"91",57
"92",82
"93",386
"94",119
"95",689
"96",403
"97",147
"98",123
"99",700
"100",20
"101",86
"102",122
"103",173
"104",3
"105",743
"106",221
"107",51
"108",699
"109",237
"110",111
"111",395
"112",398
"113",68
"114",216
"115",104
"116",174
"117",44
"118",577
"119",136
"120",684
"121",62
"122",827
"123",263
"124",737
"125",435
"126",231
"127",1055
"128",55
"129",60
"130",517
"131",226
"132",86
"133",127
"134",127
"135",173
"136",0
"137",292
"138",0
"139",316
"140",107
"141",152
"142",918
"143",50
"144",730
"145",323
"146",240
"147",229
"148",197
"149",94
"150",437
"151",151
"152",186
"153",476
"154",318
"155",5
"156",109
"157",256
"158",198
"159",113
"160",1249
"161",14
"162",79
"163",33
"164",222
"165",46
"166",900
"167",118
"168",171
"169",643
"170",179
"171",124
"172",258
"173",52
"174",36
"175",215
"176",51
"177",30
"178",56
"179",154
"180",170
"181",64
"182",46
"183",451
"184",97
"185",253
"186",496
"187",800
"188",1218
"189",58
"190",1064
"191",1067
"192",560
"193",299
"194",79
"195",731
"196",72
"197",380
"198",410
"199",213
"200",243
"201",233
"202",1607
"203",82
"204",228
"205",331
"206",329
"207",154
"208",105
"209",77
"210",356
"211",73
"212",659
"213",1131
"214",30
"215",508
"216",336
"217",482
"218",277
"219",388
"220",231
"221",231
"222",40
"223",188
"224",208
"225",1226
"226",1006
"227",284
"228",194
"229",39
"230",227
"231",82
"232",48
"233",666
"234",954
"235",203
"236",220
"237",102
"238",37
"239",200
"240",129
"241",585
"242",741
"243",201
"244",444
"245",463
"246",130
"247",29
"248",1453
"249",46
"250",79
"251",56
"252",2107
"253",277
"254",605
"255",782
"256",836
"257",331
"258",505
"259",213
"260",170
"261",283
"262",385
"263",75
"264",1147
"265",102
"266",1380
"267",273
"268",1496
"269",151
"270",58
"271",60
"272",54
"273",273
"274",50
"275",98
"276",11
"277",653
"278",275
"279",63
"280",98
"281",311
"282",420
"283",942
"284",33
"285",1686
"286",229
"287",93
"288",536
"289",320
"290",311
"291",253
"292",1922
"293",285
"294",705
"295",141
"296",37
"297",231
"298",240
"299",2779
"300",293
"301",61
"302",500
"303",507
"304",1476
"305",78
"306",347
"307",396
"308",1030
"309",104
"310",326
"311",47
"312",510
"313",257
"314",328
"315",179
"316",595
"317",105
"318",840
"319",171
"320",200
"321",170
"322",409
"323",130
"324",272
"325",637
"326",433
"327",127
"328",172
"329",150
"330",251
"331",294
"332",578
"333",40
"334",35
"335",432
"336",105
"337",750
"338",188
"339",745
"340",80
"341",248
"342",150
"343",92
"344",726
"345",127
"346",751
"347",204
"348",72
"349",2108
"350",66
"351",247
"352",60
"353",83
"354",128
"355",168
"356",86
"357",92
"358",386
"359",21
"360",376
"361",78
"362",419
"363",461
"364",42
"365",666
"366",15
"367",69
"368",64
"369",425
"370",412
"371",433
"372",724
"373",156
"374",160
"375",131
"376",799
"377",101
"378",104
"379",84
"380",427
"381",287
"382",73
"383",152
"384",248
"385",39
"386",710
"387",595
"388",1088
"389",703
"390",199
"391",104
"392",735
"393",87
"394",155
"395",215
"396",10
"397",329
"398",223
"399",147
"400",408
"401",32
"402",132
"403",744
"404",102
"405",596
"406",110
"407",73
"408",680
"409",318
"410",546
"411",43
"412",1412
"413",129
"414",28
"415",168
"416",41
"417",242
"418",331
"419",232
"420",146
"421",179
"422",84
"423",128
"424",174
"425",88
"426",551
"427",890
"428",377
"429",862
"430",122
"431",433
"432",25
"433",133
"434",40
"435",291
"436",207
"437",1656
"438",95
"439",285
"440",674
"441",185
"442",1007
"443",401
"444",2860
"445",966
"446",95
"447",282
"448",514
"449",481
"450",915
"451",104
"452",93
"453",1146
"454",527
"455",56
"456",754
"457",203
"458",408
"459",191
"460",153
"461",104
"462",861
"463",147
"464",96
"465",590
"466",122
"467",193
"468",114
"469",104
"470",375
"471",635
"472",47
"473",53
"474",196
"475",134
"476",386
"477",338
"478",43
"479",571
"480",134
"481",182
"482",190
"483",327
"484",217
"485",79
"486",144
"487",228
"488",413
"489",180
"490",662
"491",196
"492",846
"493",244
"494",73
"495",35
"496",134
"497",59
"498",865
"499",66
"500",53
"501",138
"502",336
"503",19
"504",405
"505",422
"506",291
"507",495
"508",1368
"509",86
"510",152
"511",838
"512",53
"513",133
"514",10
"515",292
"516",114
"517",163
"518",81
"519",246
"520",33
"521",179
"522",99
"523",194
"524",213
"525",0
"526",1548
"527",533
"528",754
"529",40
"530",804
"531",306
"532",50
"533",632
"534",160
"535",117
"536",124
"537",48
"538",97
"539",397
"540",51
"541",283
"542",102
"543",44
"544",3108
"545",287
"546",774
"547",325
"548",281
"549",1442
"550",155
"551",805
"552",103
"553",133
"554",35
"555",362
"556",1088
"557",427
"558",27
"559",418
"560",65
"561",611
"562",211
"563",2515
"564",215
"565",149
"566",490
"567",106
"568",179
"569",308
"570",72
"571",589
"572",91
"573",650
"574",1434
"575",469
"576",71
"577",867
"578",217
"579",2771
"580",231
"581",97
"582",458
"583",1316
"584",215
"585",424
"586",1301
"587",508
"588",241
"589",471
"590",70
"591",65
"592",72
"593",587
"594",50
"595",1008
"596",143
"597",169
"598",26
"599",241
"600",1124
"601",359
"602",222
"603",679
"604",129
"605",38
"606",229
"607",205
"608",1340
"609",225
"610",88
"611",141
"612",1
"613",197
"614",915
"615",40
"616",155
"617",142
"618",722
"619",330
"620",216
"621",178
"622",157
"623",194
"624",52
"625",100
"626",220
"627",450
"628",57
"629",457
"630",202
"631",190
"632",407
"633",128
"634",189
"635",193
"636",225
"637",430
"638",230
"639",704
"640",362
"641",580
"642",216
"643",467
"644",585
"645",70
"646",540
"647",311
"648",58
"649",248
"650",143
"651",121
"652",1246
"653",38
"654",364
"655",1247
"656",715
"657",867
"658",276
"659",701
"660",617
"661",324
"662",23
"663",368
"664",85
"665",890
"666",97
"667",201
"668",1606
"669",1387
"670",237
"671",75
"672",827
"673",565
"674",404
"675",128
"676",866
"677",235
"678",32
"679",199
"680",827
"681",788
"682",260
"683",331
"684",603
"685",29
"686",98
"687",542
"688",190
"689",258
"690",542
"691",46
"692",799
"693",101
"694",1607
"695",195
"696",75
"697",30
"698",1038
"699",121
"700",78
"701",358
"702",13
"703",449
"704",674
"705",136
"706",39
"707",46
"708",483
"709",985
"710",52
"711",75
"712",847
"713",249
"714",804
"715",206
"716",115
"717",650
"718",61
"719",813
"720",285
"721",462
"722",561
"723",225
"724",374
"725",165
"726",210
"727",1233
"728",31
"729",1445
"730",1144
"731",74
"732",102
"733",80
"734",145
"735",527
"736",1041
"737",61
"738",289
"739",418
"740",197
"741",643
"742",896
"743",541
"744",1144
"745",593
"746",833
"747",39
"748",33
"749",149
"750",94
"751",26
"752",278
"753",391
"754",157
"755",570
"756",140
"757",36
"758",106
"759",174
"760",1040
"761",295
"762",779
"763",357
"764",115
"765",85
"766",484
"767",54
"768",38
"769",302
"770",202
"771",197
"772",226
"773",139
"774",44
"775",80
"776",36
"777",349
"778",631
"779",603
"780",199
"781",498
"782",896
"783",131
"784",366
"785",214
"786",307
"787",856
"788",36
"789",163
"790",927
"791",591
"792",94
"793",134
"794",1668
"795",64
"796",280
"797",0
"798",852
"799",230
"800",520
"801",240
"802",162
"803",231
"804",497
"805",23
"806",620
"807",205
"808",114
"809",199
"810",282
"811",68
"812",78
"813",53
"814",694
"815",1008
"816",44
