"","x"
"1",10
"2",11
"3",8
"4",3
"5",12
"6",4
"7",17
"8",0
"9",48
"10",99
"11",11
"12",1
"13",19
"14",7
"15",1
"16",26
"17",7
"18",11
"19",3
"20",21
"21",14
"22",25
"23",3
"24",8
"25",7
"26",11
"27",16
"28",11
"29",1
"30",7
"31",34
"32",13
"33",4
"34",68
"35",1
"36",4
"37",32
"38",49
"39",69
"40",36
"41",29
"42",11
"43",15
"44",6
"45",50
"46",4
"47",3
"48",20
"49",1
"50",19
"51",2
"52",7
"53",51
"54",8
"55",2
"56",2
"57",8
"58",12
"59",3
"60",18
"61",15
"62",29
"63",5
"64",11
"65",8
"66",0
"67",4
"68",17
"69",11
"70",7
"71",15
"72",29
"73",4
"74",0
"75",11
"76",11
"77",90
"78",21
"79",22
"80",18
"81",7
"82",5
"83",71
"84",5
"85",8
"86",16
"87",9
"88",2
"89",8
"90",10
"91",5
"92",10
"93",17
"94",20
"95",7
"96",8
"97",10
"98",39
"99",24
"100",7
"101",8
"102",21
"103",13
"104",18
"105",7
"106",3
"107",9
"108",4
"109",3
"110",38
"111",24
"112",4
"113",8
"114",45
"115",2
"116",19
"117",7
"118",9
"119",8
"120",1
"121",8
"122",6
"123",0
"124",3
"125",2
"126",15
"127",13
"128",23
"129",22
"130",0
"131",15
"132",4
"133",9
"134",11
"135",4
"136",6
"137",3
"138",9
"139",13
"140",10
"141",1
"142",7
"143",0
"144",3
"145",7
"146",28
"147",6
"148",0
"149",29
"150",22
"151",34
"152",27
"153",1
"154",8
"155",17
"156",17
"157",9
"158",8
"159",7
"160",5
"161",8
"162",14
"163",4
"164",5
"165",11
"166",10
"167",6
"168",3
"169",19
"170",7
"171",2
"172",17
"173",14
"174",1
"175",2
"176",17
"177",6
"178",8
"179",5
"180",6
"181",5
"182",11
"183",4
"184",20
"185",34
"186",22
"187",10
"188",17
"189",3
"190",6
"191",16
"192",6
"193",6
"194",50
"195",9
"196",7
"197",17
"198",37
"199",7
"200",20
"201",1
"202",31
"203",13
"204",5
"205",4
