"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,11,4,0,23,5,43
"2",0,6,21,6,3,29,9,74
"3",11,28,28,8,4,99,49,227
"4",2,6,34,11,0,46,17,116
"5",0,17,9,6,11,34,10,87
"6",2,3,19,6,2,39,2,73
"7",7,31,46,24,1,78,42,230
"8",2,23,74,34,3,62,59,258
"9",4,0,19,3,3,54,7,90
"10",1,1,15,7,1,46,5,76
"11",2,0,8,4,0,3,2,19
"12",2,1,30,6,0,38,5,82
"13",9,56,73,21,5,140,47,352
"14",1,0,10,3,0,10,0,24
"15",15,35,50,7,0,77,35,219
"16",0,1,3,3,0,10,0,17
"17",0,1,13,6,0,7,5,32
"18",1,5,38,13,2,37,17,113
"19",6,27,65,19,0,178,23,318
"20",0,6,39,26,1,28,29,129
"21",3,3,25,4,0,30,10,76
"22",0,9,15,10,4,38,13,89
"23",2,12,31,14,3,65,13,140
"24",10,11,32,8,3,43,14,122
"25",1,0,6,2,0,16,2,27
"26",0,3,15,3,1,17,13,52
"27",0,0,6,0,0,4,1,11
"28",5,9,31,8,0,69,20,142
"29",14,15,67,23,1,283,32,435
"30",8,126,125,45,16,104,102,529
"31",4,3,40,11,3,21,17,101
"32",0,1,17,4,1,9,4,36
"33",4,0,18,3,2,53,6,86
"34",7,18,55,18,4,288,29,419
"35",7,7,38,25,9,63,26,176
"36",3,2,44,5,2,19,9,84
"37",9,9,38,9,3,49,14,132
"38",9,7,49,16,0,90,21,193
"39",2,3,24,6,2,34,3,74
"40",1,3,28,4,1,45,7,89
"41",2,19,49,20,5,44,43,182
"42",0,9,14,9,4,24,12,72
"43",14,49,78,20,2,76,43,283
"44",1,6,42,10,1,44,20,125
"45",0,1,3,0,0,2,1,7
"46",1,0,8,2,0,6,0,17
"47",6,7,22,8,4,27,5,79
"48",15,5,29,3,1,72,9,134
"49",0,5,45,8,4,28,32,122
"50",14,42,79,18,5,149,75,384
"51",1,2,18,3,1,19,3,47
"52",1,2,11,3,4,17,10,48
"53",14,16,48,14,2,70,24,188
"54",10,18,54,15,5,160,30,292
"55",0,9,15,9,4,31,13,81
"56",0,4,3,2,0,22,1,32
"57",0,1,9,5,0,18,5,38
"58",5,3,30,5,1,18,17,80
"59",0,2,20,4,0,25,6,57
"60",3,4,10,0,0,3,1,21
"61",0,0,8,4,0,15,5,32
"62",10,30,68,19,0,173,21,321
"63",0,0,7,3,0,15,3,28
"64",21,17,73,19,4,113,38,285
"65",7,5,39,9,1,48,20,129
"66",0,0,7,4,0,12,2,25
"67",2,5,22,4,5,18,3,59
"68",14,43,72,26,5,144,63,368
"69",2,9,34,20,2,23,21,112
"70",10,6,18,5,0,23,3,65
"71",2,17,32,9,0,35,22,117
"72",0,2,17,2,1,13,11,46
"73",10,7,20,3,0,188,6,234
"74",0,14,84,28,4,63,56,249
"75",1,10,30,5,1,50,17,114
"76",10,6,15,4,2,36,6,79
"77",5,30,119,55,11,161,64,445
"78",0,3,12,1,0,8,5,29
"79",0,0,18,3,2,13,6,42
"80",3,6,48,11,4,148,16,236
"81",69,153,442,90,18,432,185,1389
"82",4,6,29,3,0,18,1,61
"83",0,7,29,23,2,42,32,136
"84",10,17,46,12,4,90,12,191
"85",0,5,25,7,3,23,12,76
"86",2,23,52,15,10,45,25,172
"87",5,14,38,18,0,69,23,168
"88",1,3,21,8,0,29,6,68
"89",1,5,13,3,0,27,9,58
"90",6,8,29,6,0,34,9,92
"91",0,1,25,4,0,11,2,43
"92",2,6,23,4,5,28,4,72
"93",1,13,38,7,1,43,22,126
"94",2,2,18,3,2,25,12,64
"95",1,3,19,4,0,16,4,47
"96",2,11,35,11,1,44,26,130
"97",2,2,27,11,1,54,15,112
"98",9,28,84,32,4,147,50,354
"99",0,0,8,1,0,5,1,15
"100",0,0,22,3,0,11,7,43
"101",1,2,11,3,4,17,10,48
"102",15,16,53,10,0,57,13,164
"103",0,8,16,12,4,40,14,94
"104",7,11,37,5,2,35,38,135
"105",9,38,68,13,7,135,69,341
"106",7,7,20,15,0,32,11,93
"107",8,11,53,10,3,46,17,148
"108",0,4,1,2,0,19,1,27
"109",10,50,124,24,3,118,51,380
"110",0,0,6,3,0,9,2,20
"111",0,0,8,0,0,11,6,25
"112",12,24,55,20,5,142,37,296
"113",0,1,6,5,2,11,1,26
"114",1,4,21,4,1,25,11,67
"115",2,6,30,16,0,24,26,105
"116",0,0,8,3,0,8,0,19
"117",2,5,3,3,0,4,0,17
"118",2,28,53,16,3,60,34,196
"119",11,143,170,39,19,149,131,663
"120",1,1,6,4,0,15,3,30
"121",4,13,59,24,6,173,22,301
"122",16,22,62,22,6,179,40,349
"123",6,21,43,24,1,152,23,270
"124",1,0,6,2,0,6,0,15
"125",1,0,9,3,1,21,6,41
"126",15,17,71,14,2,94,37,250
"127",0,21,46,18,1,54,21,161
"128",1,2,13,4,0,39,3,63
"129",0,1,18,16,0,18,15,68
"130",1,3,13,5,0,40,14,77
"131",0,1,28,8,1,42,8,88
"132",0,0,11,2,0,11,7,31
"133",2,2,35,10,2,46,23,120
"134",1,2,24,9,0,23,6,65
"135",1,3,7,5,2,12,19,49
"136",0,6,57,27,3,41,44,179
"137",62,76,136,59,5,187,145,670
"138",10,120,113,46,13,85,100,489
"139",0,1,19,4,0,21,11,56
"140",1,5,32,13,16,34,9,110
"141",0,4,5,5,0,17,3,34
"142",0,2,19,4,0,30,6,61
"143",0,0,6,0,0,6,1,13
"144",0,1,24,7,2,14,23,71
"145",3,15,39,22,2,137,30,248
"146",9,150,147,49,17,111,116,602
"147",0,9,15,10,4,37,13,88
"148",1,3,21,6,0,29,6,66
"149",1,1,17,6,0,13,5,43
"150",0,5,32,3,4,17,8,69
"151",0,1,24,4,1,11,8,49
"152",1,1,7,0,1,5,1,16
"153",6,56,67,39,15,78,93,354
"154",1,2,117,1,4,31,9,165
"155",19,106,236,45,15,194,74,690
"156",10,10,29,11,0,63,19,144
"157",1,7,12,2,1,263,4,290
"158",0,0,7,4,0,12,2,25
"159",0,1,9,1,0,13,1,25
"160",3,5,11,7,2,13,7,48
"161",1,3,27,5,0,21,7,64
"162",11,71,78,43,17,88,96,404
"163",2,4,33,7,7,67,1,121
"164",4,2,26,3,1,41,5,82
"165",0,1,7,1,0,7,1,17
"166",4,7,16,2,0,27,6,62
"167",4,22,73,46,3,140,41,331
"168",2,11,41,6,6,46,21,133
"169",0,26,76,21,5,73,49,253
"170",27,34,81,33,4,129,44,352
"171",0,0,1,2,0,1,0,4
"172",2,3,23,6,2,30,17,83
"173",0,10,33,11,1,32,20,107
"174",0,1,19,1,0,15,4,40
"175",2,14,81,20,2,92,43,255
"176",4,13,34,11,1,51,24,138
"177",2,32,73,27,8,64,46,254
"178",6,15,70,23,2,92,25,233
"179",0,3,16,11,0,11,13,55
"180",2,48,111,43,3,120,80,407
"181",6,5,22,6,0,67,18,124
"182",0,4,1,2,0,19,1,27
"183",0,1,6,0,0,7,0,14
"184",2,36,68,29,4,78,41,260
"185",0,0,1,1,0,1,0,3
"186",1,5,23,12,1,69,8,119
"187",10,10,52,14,3,152,14,255
"188",4,9,27,5,2,36,34,117
"189",2,17,70,28,1,191,27,338
"190",2,5,28,15,4,22,11,87
"191",1,23,13,1,0,14,0,52
"192",0,2,17,2,1,12,10,44
"193",0,2,28,11,4,24,9,79
"194",0,4,17,4,0,11,7,43
"195",1,1,23,2,0,15,3,45
"196",13,24,50,28,4,175,49,344
"197",0,26,85,21,5,80,53,273
"198",3,10,21,15,0,52,21,123
"199",0,0,7,2,0,2,4,15
"200",0,0,5,3,0,9,2,19
"201",0,9,15,9,4,31,13,81
"202",0,1,7,2,1,21,1,33
"203",3,4,10,0,0,3,1,21
"204",17,46,85,26,5,158,79,418
"205",0,5,44,7,1,42,17,116
"206",0,1,22,17,0,22,14,76
"207",0,1,25,2,1,10,7,46
"208",6,101,96,39,15,84,92,434
"209",0,3,20,1,0,5,3,32
"210",0,2,30,9,0,36,17,94
"211",16,183,183,43,19,150,133,728
"212",4,10,47,10,8,96,2,177
"213",1,2,21,6,0,26,7,63
"214",4,58,116,61,3,152,86,480
