"","x"
"1",45
"2",108
"3",0
"4",33
"5",143
"6",153
"7",14
"8",96
"9",141
"10",296
"11",53
"12",53
"13",157
"14",146
"15",213
"16",12
"17",135
"18",434
"19",34
"20",595
"21",85
"22",506
"23",596
"24",228
"25",231
"26",668
"27",592
"28",202
"29",101
"30",294
"31",207
"32",185
"33",115
"34",291
"35",344
"36",489
"37",197
"38",546
"39",260
"40",557
"41",209
"42",194
"43",828
"44",158
"45",93
"46",695
"47",433
"48",281
"49",161
"50",25
"51",199
"52",183
"53",118
"54",74
"55",230
"56",30
"57",2079
"58",480
"59",67
"60",113
"61",111
"62",109
"63",170
"64",28
"65",30
"66",64
"67",111
"68",175
"69",470
"70",613
"71",157
"72",55
"73",16
"74",240
"75",960
"76",57
"77",80
"78",13
"79",699
"80",220
"81",146
"82",977
"83",228
"84",149
"85",30
"86",62
"87",261
"88",710
"89",75
"90",77
"91",88
"92",96
"93",163
"94",104
"95",301
"96",224
"97",117
"98",102
"99",638
"100",27
"101",99
"102",51
"103",116
"104",11
"105",355
"106",142
"107",38
"108",340
"109",194
"110",95
"111",183
"112",291
"113",66
"114",180
"115",62
"116",156
"117",33
"118",469
"119",90
"120",490
"121",37
"122",531
"123",259
"124",424
"125",346
"126",108
"127",558
"128",56
"129",52
"130",392
"131",120
"132",76
"133",102
"134",114
"135",136
"136",0
"137",202
"138",0
"139",246
"140",108
"141",108
"142",729
"143",63
"144",733
"145",195
"146",220
"147",195
"148",151
"149",53
"150",443
"151",58
"152",167
"153",246
"154",160
"155",19
"156",111
"157",211
"158",137
"159",64
"160",840
"161",2
"162",68
"163",35
"164",176
"165",21
"166",547
"167",114
"168",134
"169",265
"170",131
"171",144
"172",203
"173",16
"174",28
"175",196
"176",47
"177",36
"178",40
"179",121
"180",158
"181",61
"182",48
"183",281
"184",94
"185",192
"186",274
"187",699
"188",808
"189",48
"190",684
"191",610
"192",389
"193",229
"194",86
"195",436
"196",40
"197",338
"198",250
"199",156
"200",193
"201",139
"202",1391
"203",35
"204",231
"205",243
"206",244
"207",126
"208",50
"209",52
"210",301
"211",69
"212",374
"213",650
"214",37
"215",652
"216",167
"217",341
"218",132
"219",289
"220",130
"221",108
"222",33
"223",164
"224",133
"225",812
"226",671
"227",237
"228",155
"229",44
"230",95
"231",66
"232",53
"233",611
"234",720
"235",181
"236",140
"237",76
"238",18
"239",120
"240",73
"241",516
"242",712
"243",163
"244",317
"245",265
"246",149
"247",65
"248",1121
"249",35
"250",45
"251",32
"252",1449
"253",213
"254",341
"255",620
"256",617
"257",247
"258",650
"259",174
"260",121
"261",207
"262",431
"263",69
"264",860
"265",98
"266",1042
"267",185
"268",1031
"269",58
"270",25
"271",54
"272",45
"273",150
"274",40
"275",68
"276",7
"277",634
"278",131
"279",47
"280",98
"281",215
"282",258
"283",535
"284",25
"285",1446
"286",187
"287",71
"288",405
"289",234
"290",214
"291",128
"292",1259
"293",236
"294",463
"295",101
"296",43
"297",199
"298",193
"299",1847
"300",229
"301",24
"302",363
"303",656
"304",1068
"305",37
"306",181
"307",299
"308",772
"309",78
"310",150
"311",27
"312",333
"313",158
"314",238
"315",148
"316",525
"317",120
"318",780
"319",125
"320",126
"321",102
"322",294
"323",109
"324",130
"325",324
"326",306
"327",91
"328",110
"329",106
"330",233
"331",140
"332",266
"333",39
"334",31
"335",262
"336",63
"337",381
"338",204
"339",498
"340",55
"341",151
"342",106
"343",92
"344",427
"345",91
"346",552
"347",107
"348",84
"349",1434
"350",44
"351",259
"352",48
"353",56
"354",78
"355",129
"356",62
"357",36
"358",181
"359",19
"360",285
"361",40
"362",277
"363",483
"364",37
"365",401
"366",26
"367",71
"368",63
"369",424
"370",266
"371",397
"372",350
"373",64
"374",139
