"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,7,8,0,9,2,26
"2",3,3,30,4,0,19,7,66
"3",14,15,41,13,8,93,36,220
"4",1,5,31,16,0,33,15,102
"5",5,7,12,5,13,32,5,79
"6",2,1,20,8,1,58,5,95
"7",11,35,38,17,3,85,45,235
"8",5,28,91,29,11,74,53,291
"9",2,3,22,2,0,52,1,82
"10",1,3,25,9,0,44,4,86
"11",0,3,5,2,0,3,3,16
"12",1,3,34,12,0,36,3,89
"13",8,46,86,10,11,142,42,345
"14",0,0,19,4,0,3,3,29
"15",12,22,43,14,2,58,40,191
"16",0,0,2,1,1,8,0,12
"17",0,3,8,4,0,16,3,34
"18",1,6,22,7,0,32,22,90
"19",11,18,57,12,1,180,36,315
"20",1,0,36,9,1,33,19,99
"21",3,7,19,9,1,32,12,83
"22",0,11,26,16,1,32,19,105
"23",5,14,38,6,3,56,26,149
"24",11,12,43,8,0,46,14,135
"25",0,1,6,4,0,28,0,39
"26",0,1,28,1,0,12,7,49
"27",0,0,12,4,0,8,0,24
"28",6,7,37,10,1,69,17,147
"29",15,9,56,19,3,188,21,311
"30",7,121,134,41,13,88,126,533
"31",2,2,47,6,4,43,13,118
"32",1,1,13,2,1,8,3,29
"33",2,5,28,2,1,44,1,83
"34",7,17,40,26,2,310,25,427
"35",0,9,37,16,1,42,13,119
"36",3,1,21,8,1,22,8,64
"37",10,9,42,12,0,50,21,145
"38",12,7,56,25,5,66,21,192
"39",2,1,19,8,1,50,7,88
"40",1,6,23,7,1,40,6,84
"41",4,17,43,8,1,42,39,156
"42",0,10,25,8,1,25,14,83
"43",11,38,86,17,3,74,42,271
"44",4,10,33,10,2,47,16,122
"45",1,0,4,1,0,4,1,11
"46",0,0,7,5,0,4,0,16
"47",4,3,24,6,1,39,5,82
"48",11,5,27,3,1,77,7,131
"49",0,2,42,7,1,28,17,97
"50",14,43,70,37,22,151,72,410
"51",1,2,17,3,2,17,3,45
"52",2,0,23,2,0,16,1,44
"53",20,9,44,15,2,45,40,175
"54",11,8,45,18,5,206,29,322
"55",0,11,27,14,1,29,15,97
"56",0,2,9,2,0,18,1,32
"57",1,1,13,6,0,15,8,44
"58",2,2,36,3,2,22,15,83
"59",3,0,18,1,2,22,4,51
"60",1,2,10,1,0,9,1,24
"61",1,0,15,1,0,11,5,33
"62",13,19,59,16,1,178,37,323
"63",2,0,9,3,0,14,7,35
"64",30,25,93,30,9,112,37,336
"65",7,3,29,15,2,49,21,126
"66",1,0,4,2,0,8,0,15
"67",0,2,19,4,0,21,3,49
"68",22,43,76,29,22,138,70,401
"69",1,5,34,13,0,17,22,92
"70",12,3,16,1,0,23,8,63
"71",1,6,31,16,2,36,23,115
"72",0,2,26,2,2,7,4,43
"73",5,9,18,6,2,158,6,204
"74",4,7,64,27,7,54,52,215
"75",3,10,54,8,2,29,17,123
"76",8,7,10,2,0,23,15,65
"77",1,32,102,51,1,107,80,375
"78",0,0,14,6,0,3,4,27
"79",0,1,25,6,0,16,7,55
"80",11,8,54,16,1,167,18,275
"81",68,239,412,86,47,379,197,1429
"82",3,8,15,2,0,8,2,38
"83",0,4,33,10,2,19,14,83
"84",8,9,47,8,5,116,20,213
"85",0,6,22,16,1,23,18,86
"86",10,41,80,24,15,74,37,282
"87",0,15,53,11,2,63,30,175
"88",3,2,16,2,1,22,6,52
"89",1,3,18,3,3,19,4,51
"90",5,5,25,7,2,23,13,80
"91",0,0,16,3,2,7,1,29
"92",0,3,20,5,0,20,4,52
"93",2,8,36,8,1,56,26,137
"94",2,3,11,4,0,23,1,44
"95",0,1,20,2,2,30,8,63
"96",0,10,35,19,4,47,26,141
"97",2,10,38,9,2,52,22,136
"98",9,19,76,34,0,171,32,342
"99",0,0,6,1,0,4,0,11
"100",1,0,13,4,1,11,2,32
"101",2,0,23,2,0,16,1,44
"102",18,13,35,17,4,42,21,150
"103",0,11,28,19,1,36,20,115
"104",10,13,31,9,2,47,21,133
"105",7,34,71,38,11,138,61,362
"106",1,3,30,8,0,25,13,80
"107",3,5,73,15,2,56,15,169
"108",0,2,1,0,0,15,1,19
"109",7,54,87,26,3,90,41,308
"110",1,0,7,3,0,9,1,21
"111",0,1,11,3,0,16,3,34
"112",11,17,54,21,12,109,26,251
"113",0,0,16,3,1,15,4,39
"114",4,2,36,7,2,26,9,86
"115",0,2,44,9,0,32,22,109
"116",0,1,12,3,0,14,1,31
"117",1,2,6,5,0,11,4,29
"118",4,4,27,30,1,61,17,144
"119",23,159,180,57,54,124,125,722
"120",2,2,9,4,0,28,1,46
"121",9,14,68,21,1,185,30,328
"122",16,11,73,28,7,142,52,331
"123",7,6,49,11,2,104,22,201
"124",0,0,6,4,0,3,0,13
"125",0,3,7,4,0,10,4,28
