"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,13,3,1,12,3,32
"2",0,7,33,8,2,21,8,79
"3",9,27,39,14,11,84,34,218
"4",5,7,44,9,1,50,11,127
"5",4,23,24,8,7,31,8,105
"6",1,3,22,1,1,35,10,73
"7",8,28,54,13,3,81,30,217
"8",2,41,92,19,5,76,74,309
"9",1,2,23,2,0,39,5,72
"10",2,3,21,1,1,30,7,65
"11",1,0,10,1,0,10,1,23
"12",2,2,23,8,3,48,5,91
"13",5,63,81,22,3,143,71,388
"14",0,0,8,0,0,4,0,12
"15",15,12,53,11,0,91,29,213
"16",1,19,46,0,1,15,8,90
"17",0,3,8,2,0,5,3,21
"18",1,6,45,8,0,40,22,122
"19",21,16,53,12,3,147,45,297
"20",0,13,34,9,0,51,8,115
"21",1,4,31,6,1,38,6,87
"22",1,20,30,11,2,61,14,140
"23",3,6,18,11,2,46,16,102
"24",8,10,37,9,1,55,7,128
"25",0,1,3,2,0,27,1,34
"26",1,4,21,0,1,20,6,53
"27",0,0,8,1,0,6,0,15
"28",15,8,37,12,0,59,28,159
"29",8,33,75,11,5,420,28,580
"30",7,99,123,36,9,102,94,470
"31",5,7,37,6,1,27,6,89
"32",1,2,12,5,0,7,1,28
"33",4,2,15,1,0,38,4,64
"34",7,21,69,10,3,279,39,428
"35",10,12,48,13,2,50,16,151
"36",2,3,47,12,0,22,2,88
"37",6,10,41,13,3,63,13,150
"38",13,9,50,21,2,80,28,203
"39",2,5,26,3,1,38,8,83
"40",2,3,23,9,1,44,9,91
"41",5,18,51,13,0,39,29,155
"42",1,19,24,4,1,46,13,109
"43",7,42,57,13,1,62,33,215
"44",1,6,33,9,1,58,21,129
"45",0,0,6,0,0,1,0,7
"46",0,0,3,1,0,2,1,7
"47",9,6,35,3,4,37,5,99
"48",8,5,11,6,0,44,7,81
"49",1,4,32,17,1,35,30,120
"50",13,21,88,42,8,114,73,359
"51",0,0,10,4,0,10,4,28
"52",0,5,25,4,1,12,4,51
"53",16,9,27,14,4,79,25,174
"54",5,16,43,13,7,110,10,204
"55",1,19,29,7,1,61,13,132
"56",0,2,15,5,1,22,4,49
"57",0,1,12,5,1,18,3,40
"58",3,2,34,8,2,21,12,82
"59",1,3,15,3,0,19,5,46
"60",7,2,9,0,1,5,2,27
"61",1,2,10,2,0,24,2,41
"62",23,15,56,13,4,153,47,311
"63",0,1,14,5,0,5,2,27
"64",20,35,96,16,12,91,35,305
"65",7,3,47,6,0,57,22,144
"66",1,1,2,4,1,8,2,19
"67",1,1,20,2,2,29,2,57
"68",13,35,86,33,8,113,71,360
"69",0,16,35,6,2,42,19,120
"70",20,2,17,5,0,21,2,67
"71",1,10,28,3,1,42,24,109
"72",0,3,19,4,0,12,8,46
"73",7,7,26,2,4,138,14,198
"74",3,16,66,22,3,77,49,236
"75",0,4,45,9,0,46,17,121
"76",3,5,17,7,2,44,5,83
"77",4,23,77,55,4,113,68,344
"78",0,3,7,0,0,7,1,18
"79",0,0,15,3,0,18,3,39
"80",11,14,45,13,4,157,16,260
"81",54,167,465,106,33,520,179,1524
"82",5,10,17,4,0,16,2,54
"83",0,6,29,20,0,40,19,114
"84",8,7,51,3,1,79,14,163
"85",0,9,24,6,1,32,14,86
"86",10,35,58,8,9,46,28,194
"87",0,10,46,23,3,68,35,187
"88",1,6,17,3,0,29,13,69
"89",2,6,16,3,0,20,12,59
"90",4,9,22,3,0,24,9,71
"91",0,0,18,5,0,14,4,41
"92",0,4,26,3,2,42,2,79
"93",2,8,36,9,1,32,22,110
"94",2,4,13,7,2,24,7,59
"95",0,0,15,4,1,29,7,56
"96",0,11,33,6,2,54,30,136
"97",3,6,28,18,2,65,21,143
"98",6,27,68,36,1,155,41,334
"99",0,0,4,1,0,9,0,14
"100",1,5,35,8,0,19,5,73
"101",0,5,25,4,1,12,4,51
"102",9,12,29,7,0,39,16,112
"103",1,19,33,12,2,70,14,152
"104",4,8,31,14,1,49,35,142
"105",11,16,100,41,9,110,61,348
"106",6,7,19,9,3,27,9,80
"107",13,8,58,7,2,59,13,160
"108",0,2,12,5,0,21,3,43
"109",8,67,128,27,5,126,50,411
"110",1,0,8,4,1,8,2,24
"111",1,0,16,1,1,22,1,42
"112",15,36,61,22,6,129,38,307
"113",0,0,14,1,1,19,4,39
"114",0,1,28,8,1,29,12,79
"115",0,2,31,20,1,34,22,110
"116",1,2,8,0,0,8,1,20
"117",0,4,8,2,0,11,2,27
"118",3,22,41,6,0,61,37,170
"119",13,146,183,24,16,184,138,707
"120",2,1,11,1,0,16,1,32
"121",11,19,54,27,9,185,28,333
"122",19,40,70,23,5,167,68,392
"123",8,20,47,9,5,99,32,220
"124",0,0,3,1,0,1,1,6
"125",0,3,15,2,0,20,2,42
"126",20,25,92,14,8,82,29,270
"127",1,16,44,10,1,47,19,138
"128",0,2,12,0,1,12,3,30
"129",0,4,18,8,0,35,1,66
"130",3,11,20,8,5,59,7,113
"131",1,2,22,12,3,44,5,90
"132",1,20,46,3,1,12,15,98
"133",4,8,29,5,0,45,13,105
"134",0,6,14,4,2,24,7,57
"135",1,1,23,4,1,18,9,57
"136",1,25,71,10,8,56,49,221
"137",50,51,141,55,8,190,118,614
"138",7,97,107,32,7,100,85,435
"139",0,1,22,6,1,21,6,57
"140",3,4,27,10,2,35,15,96
"141",0,2,16,5,0,25,5,53
"142",1,2,16,4,0,23,4,50
"143",0,0,9,1,0,7,0,17
"144",0,1,34,17,3,23,15,93
"145",9,24,42,9,3,94,30,211
"146",3,127,157,39,11,128,111,576
"147",1,19,32,10,1,65,15,144
"148",1,2,15,4,0,24,4,50
"149",0,1,13,3,1,9,1,28
"150",1,5,30,5,0,31,7,79
"151",0,5,31,8,1,21,6,72
"152",0,0,10,0,2,11,0,23
"153",2,60,88,34,15,106,75,380
"154",2,4,128,2,5,41,9,191
"155",24,102,239,30,18,171,74,658
"156",5,8,45,13,2,54,19,146
"157",2,8,21,5,1,219,6,262
"158",1,1,2,4,1,8,2,19
"159",0,1,8,1,1,5,4,20
"160",2,4,24,3,0,10,8,51
"161",2,1,16,3,2,14,5,43
"162",3,77,98,35,16,116,88,433
"163",3,3,29,3,4,61,5,108
"164",4,1,17,4,0,35,8,69
"165",0,0,2,0,0,8,1,11
"166",2,9,9,3,2,36,9,70
"167",5,16,103,33,10,143,71,384
"168",5,22,40,6,5,38,23,139
"169",4,22,80,21,6,79,36,248
"170",26,30,101,33,9,133,45,377
"171",0,0,2,0,0,2,2,6
"172",4,5,20,7,2,41,15,94
"173",0,7,26,3,0,25,6,67
"174",1,2,12,2,1,18,3,39
"175",2,9,58,25,2,77,36,209
"176",1,11,31,5,2,52,27,129
"177",2,19,70,20,2,79,36,228
"178",8,18,47,16,3,68,20,180
"179",0,0,19,10,0,17,8,54
"180",3,31,89,37,4,138,63,367
"181",4,4,24,9,0,45,18,104
"182",0,2,12,5,0,21,3,43
"183",0,0,9,1,0,2,1,13
"184",1,19,51,16,3,81,33,204
"185",0,0,0,0,0,0,0,0
"186",1,4,23,10,0,74,6,118
"187",2,6,35,18,2,134,14,211
"188",5,11,32,8,1,32,31,120
"189",3,10,78,18,8,102,42,263
"190",0,8,22,9,0,43,10,92
"191",1,111,16,2,0,8,0,138
"192",0,2,16,4,0,11,7,40
"193",0,8,27,5,0,27,10,77
"194",0,4,25,7,1,23,9,69
"195",3,1,15,4,0,22,8,53
"196",16,54,60,9,4,140,52,335
"197",3,23,75,20,4,79,39,243
"198",2,5,35,10,2,54,21,129
"199",1,2,3,0,0,8,0,14
"200",1,19,46,1,1,9,8,85
