"","x"
"1",14
"2",26
"3",0
"4",3
"5",9
"6",24
"7",1
"8",20
"9",21
"10",43
"11",14
"12",7
"13",11
"14",21
"15",21
"16",1
"17",32
"18",56
"19",3
"20",87
"21",13
"22",57
"23",56
"24",43
"25",19
"26",72
"27",89
"28",37
"29",8
"30",40
"31",19
"32",21
"33",7
"34",44
"35",47
"36",57
"37",10
"38",65
"39",36
"40",93
"41",24
"42",20
"43",144
"44",18
"45",8
"46",107
"47",85
"48",37
"49",14
"50",1
"51",26
"52",19
"53",23
"54",11
"55",39
"56",3
"57",245
"58",58
"59",3
"60",13
"61",13
"62",14
"63",35
"64",10
"65",2
"66",20
"67",23
"68",34
"69",70
"70",58
"71",18
"72",6
"73",2
"74",24
"75",104
"76",7
"77",20
"78",6
"79",42
"80",41
"81",23
"82",117
"83",27
"84",21
"85",0
"86",8
"87",10
"88",74
"89",12
"90",8
"91",4
"92",13
"93",15
"94",11
"95",32
"96",31
"97",14
"98",9
"99",24
"100",8
"101",5
"102",5
"103",5
"104",0
"105",93
"106",30
"107",9
"108",52
"109",24
"110",16
"111",26
"112",22
"113",5
"114",42
"115",6
"116",28
"117",5
"118",58
"119",22
"120",49
"121",0
"122",88
"123",41
"124",60
"125",46
"126",14
"127",40
"128",4
"129",8
"130",61
"131",24
"132",11
"133",7
"134",11
"135",14
"136",0
"137",21
"138",0
"139",22
"140",6
"141",10
"142",33
"143",4
"144",53
"145",23
"146",17
"147",17
"148",28
"149",7
"150",50
"151",10
"152",20
"153",37
"154",28
"155",6
"156",15
"157",7
"158",13
"159",8
"160",118
"161",0
"162",11
"163",8
"164",15
"165",2
"166",99
"167",26
"168",15
"169",33
"170",21
"171",1
"172",20
"173",0
"174",11
"175",13
"176",6
"177",5
"178",1
"179",13
"180",9
"181",5
"182",9
"183",38
"184",7
"185",21
"186",43
"187",77
"188",119
"189",5
"190",43
"191",83
"192",29
"193",7
"194",12
"195",32
"196",8
"197",47
"198",42
"199",17
"200",19
"201",29
"202",111
"203",5
"204",19
"205",17
"206",25
"207",11
"208",8
"209",8
"210",29
"211",7
"212",47
"213",90
"214",2
"215",65
"216",19
"217",32
"218",27
"219",47
"220",23
"221",14
"222",3
"223",20
"224",21
"225",120
"226",97
"227",24
"228",18
"229",1
"230",8
"231",6
"232",4
"233",70
"234",124
"235",42
"236",15
"237",8
"238",2
"239",16
"240",15
"241",53
"242",78
"243",14
"244",28
"245",38
"246",21
"247",3
"248",149
"249",5
"250",11
"251",9
"252",147
"253",20
"254",49
"255",69
"256",84
"257",18
"258",67
"259",7
"260",14
"261",21
"262",40
"263",10
"264",170
"265",23
"266",112
"267",21
"268",120
"269",10
"270",4
"271",5
"272",5
"273",25
"274",10
"275",6
"276",3
"277",66
"278",9
"279",2
"280",10
"281",14
"282",47
"283",65
"284",0
"285",120
"286",27
"287",8
"288",57
"289",33
"290",38
"291",17
"292",117
"293",11
"294",65
"295",12
"296",3
"297",20
"298",27
"299",224
"300",32
"301",4
"302",43
"303",66
"304",148
"305",9
"306",12
"307",25
"308",136
"309",15
"310",16
"311",3
"312",49
"313",22
"314",24
"315",8
"316",19
"317",10
"318",58
"319",14
"320",15
"321",15
"322",34
"323",20
"324",10
"325",44
"326",56
"327",9
"328",12
"329",9
"330",16
"331",17
"332",34
"333",3
"334",3
"335",22
"336",10
"337",79
"338",10
"339",87
"340",7
"341",21
"342",22
"343",11
"344",64
"345",9
"346",36
"347",17
"348",7
"349",131
"350",1
"351",37
"352",3
"353",3
"354",13
"355",19
"356",3
"357",5
"358",30
"359",8
"360",24
"361",1
"362",48
"363",53
"364",10
"365",43
"366",6
"367",19
"368",9
"369",49
"370",46
"371",36
"372",78
"373",6
"374",26
"375",50
"376",56
"377",14
"378",10
"379",6
"380",27
"381",22
"382",5
"383",17
"384",11
"385",8
"386",81
"387",45
"388",105
"389",72
"390",20
"391",3
"392",67
"393",4
"394",18
"395",8
"396",9
"397",31
"398",29
"399",9
"400",36
"401",5
"402",12
"403",75
"404",4
"405",71
"406",9
"407",8
"408",54
"409",21
"410",36
"411",5
"412",107
"413",12
"414",1
"415",22
"416",1
"417",23
"418",7
"419",19
"420",13
"421",12
"422",3
"423",15
"424",11
"425",3
"426",48
"427",70
"428",38
