"","x"
"639",89
"640",84
"641",224
"642",70
"643",630
"644",28
"645",381
"646",81
"647",347
"648",14
"649",29
"650",51
"651",53
"652",170
"653",76
"654",92
"655",183
"656",33
"657",17
"658",124
"659",1086
"660",445
"661",55
"662",117
"663",39
"664",262
"665",41
"666",58
"667",24
"668",28
"669",34
"670",81
"671",173
"672",120
"673",285
"674",37
"675",19
"676",20
"677",529
"678",175
"679",22
"680",106
"681",52
"682",29
"683",213
"684",152
"685",415
"686",144
"687",13
"688",96
"689",18
"690",6
"691",21
"692",404
"693",57
"694",79
"695",56
"696",303
"697",70
"698",77
"699",19
"700",99
"701",22
"702",135
"703",360
"704",4
"705",63
"706",227
"707",71
"708",27
"709",27
"710",159
"711",284
"712",20
"713",220
"714",105
"715",21
"716",45
"717",70
"718",79
"719",14
"720",62
"721",55
"722",288
"723",37
"724",58
"725",173
"726",165
"727",37
"728",72
"729",179
"730",35
"731",156
"732",58
"733",49
"734",103
"735",286
"736",86
"737",386
"738",208
"739",41
"740",345
"741",156
"742",515
"743",26
"744",88
"745",315
"746",38
"747",36
"748",77
"749",97
"750",14
"751",399
"752",149
"753",86
"754",165
"755",53
"756",72
"757",68
"758",91
"759",30
"760",64
"761",286
"762",136
"763",191
"764",24
"765",324
"766",1253
"767",54
"768",97
"769",113
"770",0
"771",25
"772",67
"773",62
"774",11
"775",62
"776",288
"777",82
"778",268
"779",41
"780",145
"781",134
"782",41
"783",37
"784",88
"785",158
"786",19
"787",676
"788",81
"789",42
"790",61
"791",77
"792",65
"793",61
"794",63
"795",71
"796",38
"797",387
"798",228
"799",99
"800",287
"801",96
"802",312
"803",28
"804",290
"805",94
"806",222
"807",66
"808",137
"809",69
"810",118
"811",307
"812",39
"813",107
"814",287
"815",200
"816",48
"817",764
"818",30
"819",50
"820",147
"821",34
"822",225
"823",242
"824",95
"825",334
"826",65
"827",111
"828",590
"829",48
"830",266
"831",66
"832",84
"833",18
"834",2
"835",281
"836",46
"837",128
"838",389
"839",759
"840",47
"841",1237
"842",20
"843",52
"844",148
"845",42
"846",65
"847",21
"848",25
"849",17
"850",393
"851",22
"852",130
"853",80
"854",35
"855",29
"856",26
"857",264
"858",0
"859",95
"860",224
"861",68
"862",139
"863",288
"864",23
"865",109
"866",64
"867",541
"868",327
"869",74
"870",198
"871",9
"872",96
"873",371
"874",53
"875",49
"876",255
"877",86
"878",40
"879",159
"880",55
"881",42
"882",374
"883",120
"884",161
"885",55
"886",430
"887",20
"888",145
"889",50
"890",38
"891",171
"892",112
"893",118
"894",13
"895",49
"896",87
"897",178
"898",73
"899",370
"900",22
"901",18
"902",716
"903",24
"904",34
"905",169
"906",55
"907",224
"908",256
"909",40
"910",226
"911",119
"912",3
"913",107
"914",113
"915",150
"916",17
"917",135
"918",341
"919",49
