"","x"
"1",56
"2",90
"3",0
"4",24
"5",205
"6",155
"7",26
"8",119
"9",139
"10",314
"11",31
"12",52
"13",98
"14",75
"15",157
"16",22
"17",166
"18",425
"19",6
"20",494
"21",90
"22",411
"23",536
"24",169
"25",146
"26",600
"27",761
"28",146
"29",69
"30",238
"31",254
"32",131
"33",105
"34",267
"35",327
"36",471
"37",134
"38",535
"39",207
"40",704
"41",309
"42",321
"43",849
"44",137
"45",110
"46",665
"47",392
"48",308
"49",136
"50",39
"51",167
"52",171
"53",78
"54",85
"55",168
"56",49
"57",1674
"58",429
"59",83
"60",110
"61",66
"62",115
"63",171
"64",30
"65",18
"66",72
"67",77
"68",256
"69",486
"70",435
"71",134
"72",54
"73",27
"74",177
"75",870
"76",68
"77",56
"78",2
"79",806
"80",332
"81",128
"82",942
"83",224
"84",99
"85",22
"86",42
"87",163
"88",749
"89",40
"90",57
"91",24
"92",77
"93",362
"94",71
"95",595
"96",283
"97",115
"98",108
"99",426
"100",27
"101",81
"102",103
"103",115
"104",13
"105",365
"106",178
"107",37
"108",334
"109",266
"110",137
"111",308
"112",251
"113",42
"114",135
"115",96
"116",218
"117",37
"118",402
"119",69
"120",557
"121",33
"122",567
"123",268
"124",425
"125",367
"126",60
"127",745
"128",53
"129",61
"130",392
"131",141
"132",51
"133",61
"134",74
"135",70
"136",0
"137",253
"138",0
"139",292
"140",61
"141",88
"142",672
"143",37
"144",787
"145",190
"146",138
"147",156
"148",147
"149",28
"150",411
"151",97
"152",96
"153",340
"154",190
"155",6
"156",96
"157",184
"158",112
"159",53
"160",924
"161",0
"162",41
"163",29
"164",225
"165",44
"166",613
"167",104
"168",104
"169",554
"170",134
"171",96
"172",237
"173",32
"174",40
"175",165
"176",51
"177",25
"178",23
"179",132
"180",140
"181",56
"182",47
"183",249
"184",76
"185",244
"186",278
"187",559
"188",894
"189",62
"190",817
"191",483
"192",418
"193",225
"194",88
"195",620
"196",40
"197",312
"198",215
"199",167
"200",256
"201",162
"202",643
"203",33
"204",264
"205",211
"206",192
"207",178
"208",49
"209",68
"210",295
"211",76
"212",500
"213",532
"214",38
"215",560
"216",259
"217",355
"218",219
"219",277
"220",152
"221",60
"222",22
"223",110
"224",149
"225",905
"226",564
"227",192
"228",132
"229",43
"230",71
"231",50
"232",45
"233",492
"234",698
"235",138
"236",112
"237",103
"238",33
"239",143
"240",52
"241",451
"242",679
"243",108
"244",243
"245",345
"246",206
"247",64
"248",1124
"249",31
"250",73
"251",36
"252",1381
"253",277
"254",391
"255",527
"256",608
"257",213
"258",573
"259",166
"260",132
"261",248
"262",732
"263",42
"264",935
"265",78
"266",990
"267",131
"268",1057
"269",97
"270",32
"271",49
"272",44
"273",136
"274",55
"275",56
"276",18
"277",652
"278",203
"279",41
"280",55
"281",226
"282",329
"283",430
"284",35
"285",697
"286",149
"287",88
"288",445
"289",221
"290",217
"291",70
"292",1508
"293",247
"294",476
"295",151
"296",67
"297",269
"298",146
"299",1416
"300",181
"301",82
"302",419
"303",589
"304",1121
"305",80
"306",177
"307",369
"308",793
"309",145
"310",272
"311",30
"312",320
"313",233
"314",178
"315",129
"316",25
"317",87
"318",867
"319",134
"320",103
"321",70
"322",292
"323",57
"324",210
"325",458
"326",310
"327",88
"328",72
"329",76
"330",179
"331",77
"332",438
"333",38
"334",27
"335",235
"336",48
"337",388
"338",139
"339",472
"340",70
"341",90
"342",76
"343",97
"344",459
"345",88
"346",458
"347",128
"348",53
"349",1479
"350",37
"351",210
"352",34
"353",54
"354",87
"355",90
"356",55
"357",50
"358",249
"359",30
"360",348
"361",60
"362",233
"363",439
"364",52
"365",455
"366",3
"367",50
"368",61
"369",352
"370",230
"371",311
"372",355
"373",100
"374",81
"375",121
"376",582
"377",80
"378",137
"379",66
"380",241
"381",190
"382",94
"383",90
"384",189
"385",36
"386",684
"387",353
"388",860
"389",475
"390",18
"391",86
"392",497
"393",48
"394",132
"395",67
"396",6
"397",190
"398",251
"399",85
"400",205
"401",30
"402",111
"403",464
"404",45
"405",617
"406",94
"407",64
"408",434
"409",105
"410",360
"411",42
"412",984
"413",92
"414",9
"415",164
"416",23
"417",263
"418",243
"419",172
"420",90
"421",114
"422",37
"423",100
"424",130
"425",42
"426",398
"427",388
"428",414
"429",518
"430",130
"431",301
"432",52
"433",147
"434",32
"435",153
"436",164
"437",649
"438",137
"439",245
"440",677
"441",140
"442",584
"443",322
"444",1563
"445",514
"446",56
"447",242
"448",407
"449",428
"450",618
"451",77
"452",90
"453",612
"454",338
"455",46
"456",474
"457",117
"458",364
"459",171
"460",131
"461",75
"462",520
"463",93
"464",118
"465",409
"466",105
"467",131
"468",82
"469",78
"470",290
"471",404
"472",28
"473",39
"474",154
"475",79
"476",362
"477",206
"478",21
"479",338
"480",119
"481",133
"482",134
"483",251
"484",19
"485",117
"486",103
"487",126
"488",324
"489",127
"490",367
"491",68
"492",602
"493",210
"494",94
"495",23
"496",104
"497",37
"498",510
"499",50
"500",39
"501",84
"502",220
"503",10
"504",418
"505",444
"506",268
"507",397
"508",908
"509",124
"510",52
"511",882
"512",55
"513",77
"514",14
"515",231
"516",82
"517",69
"518",102
"519",245
"520",33
"521",240
"522",61
"523",127
"524",51
"525",0
"526",567
"527",675
"528",600
"529",18
"530",598
"531",218
"532",28
"533",345
"534",113
"535",82
"536",113
"537",35
"538",71
"539",355
"540",71
"541",187
"542",82
"543",41
"544",1789
"545",149
"546",688
"547",283
"548",297
"549",1187
"550",147
"551",498
"552",95
"553",99
"554",36
"555",211
"556",517
"557",343
"558",44
"559",306
"560",103
"561",663
"562",145
"563",1557
"564",144
"565",97
"566",332
"567",88
"568",72
"569",202
"570",73
"571",291
"572",98
"573",446
"574",1048
"575",474
"576",68
"577",666
"578",151
"579",1418
"580",60
"581",88
"582",315
"583",924
"584",186
"585",285
"586",895
"587",341
"588",241
"589",357
"590",34
"591",62
"592",103
"593",466
"594",33
"595",796
"596",150
"597",146
"598",11
"599",183
"600",700
"601",466
"602",156
"603",456
"604",147
"605",25
"606",163
"607",132
"608",906
"609",213
"610",61
"611",98
"612",0
"613",65
"614",683
"615",63
"616",79
"617",113
"618",429
"619",188
